Date,Open,High,Low,close
2019-01-02,9725.27,9737.68,9542.52,9554.14
2019-01-03,9494.25,9554.53,9474.47,9492.42
2019-01-04,9427.24,9427.24,9319.28,9382.51
2019-01-07,9460.2,9596.35,9460.2,9590.3
2019-01-08,9591.56,9600.94,9547.63,9563.6
2019-01-09,9584.63,9741.64,9584.63,9738.31
2019-01-10,9731.11,9731.11,9683.2,9720.69
2019-01-11,9753.63,9796.98,9736.0,9759.4
2019-01-14,9737.67,9762.37,9677.49,9708.22
2019-01-15,9701.93,9806.04,9701.93,9806.04
2019-01-16,9781.35,9803.99,9763.81,9763.81
2019-01-17,9773.31,9826.25,9759.51,9789.15
2019-01-18,9781.39,9842.8,9771.15,9836.06
2019-01-21,9870.27,9919.94,9870.27,9889.4
2019-01-22,9880.54,9894.66,9855.47,9894.66
2019-01-23,9869.54,9873.39,9828.03,9846.4
2019-01-24,9865.0,9892.82,9847.32,9877.12
2019-01-25,9923.39,9980.08,9918.21,9969.61
2019-01-28,10006.46,10020.6,9990.07,10013.33
2019-01-29,9944.71,9952.34,9893.96,9931.59
2019-01-30,9915.97,9959.03,9909.81,9932.26
