Date,Open,High,Low,close
2020-08-03,12642.73,12673.02,12506.59,12513.03
2020-08-04,12577.88,12709.92,12577.88,12709.92
2020-08-05,12762.34,12816.39,12739.99,12802.3
2020-08-06,12894.24,12971.87,12851.2,12913.5
2020-08-07,12901.43,12912.63,12791.18,12828.87
2020-08-10,12786.8,12933.16,12786.8,12894.0
2020-08-11,12856.46,12906.01,12780.19,12780.19
2020-08-12,12713.63,12730.96,12625.54,12670.35
2020-08-13,12758.87,12812.8,12717.13,12763.13
2020-08-14,12709.97,12801.31,12679.19,12795.46
2020-08-17,12813.94,12956.11,12800.69,12956.11
2020-08-18,12974.96,12981.58,12840.25,12872.14
2020-08-19,12904.84,12950.11,12778.64,12778.64
2020-08-20,12764.75,12764.75,12144.76,12362.64
2020-08-21,12462.52,12638.65,12462.52,12607.84
2020-08-24,12629.78,12702.94,12567.95,12647.13
2020-08-25,12706.4,12814.56,12698.85,12758.25
2020-08-26,12768.96,12833.29,12734.69,12833.29
2020-08-27,12888.65,12960.68,12786.45,12797.31
2020-08-28,12759.3,12799.16,12674.57,12728.85
2020-08-31,12763.44,12831.38,12591.45,12591.45
