Date,Open,High,Low,close
2021-01-04,14720.25,14937.13,14720.25,14902.03
2021-01-05,14913.64,15000.03,14861.99,15000.03
2021-01-06,15145.85,15197.68,14837.0,14983.13
2021-01-07,15059.52,15270.4,15049.86,15214.0
2021-01-08,15365.13,15463.95,15275.38,15463.95
2021-01-11,15425.58,15557.3,15395.73,15557.3
2021-01-12,15549.53,15642.03,15421.23,15500.7
2021-01-13,15550.16,15778.52,15550.16,15769.98
2021-01-14,15651.2,15760.15,15620.96,15707.19
2021-01-15,15987.16,16041.59,15615.11,15616.39
2021-01-18,15676.45,15676.45,15320.97,15612.0
2021-01-19,15716.64,15928.14,15716.64,15877.37
2021-01-20,15934.85,16004.32,15745.48,15806.18
2021-01-21,15775.73,16238.46,15775.73,16153.77
2021-01-22,15984.89,16138.04,15973.02,16019.03
2021-01-25,16006.21,16014.96,15772.63,15946.54
2021-01-26,15955.16,16023.87,15589.21,15658.85
2021-01-27,15711.76,15837.47,15642.12,15701.45
2021-01-28,15519.85,15557.02,15367.45,15415.88
2021-01-29,15544.36,15603.41,15138.31,15138.31
