Date,Open,High,Low,close
2020-04-01,9726.2,9736.0,9663.63,9663.63
2020-04-06,9707.75,9818.74,9651.52,9818.74
2020-04-07,9928.16,10039.15,9928.16,9996.39
2020-04-08,10010.64,10149.76,9984.66,10137.47
2020-04-09,10173.26,10246.84,10092.36,10119.43
2020-04-10,10105.43,10165.12,10103.77,10157.61
2020-04-13,10147.56,10179.4,10080.65,10099.22
2020-04-14,10130.65,10344.13,10130.65,10332.94
2020-04-15,10366.77,10461.84,10366.77,10447.21
2020-04-16,10385.78,10425.29,10317.13,10375.48
2020-04-17,10554.55,10710.15,10552.58,10597.04
2020-04-20,10612.45,10637.64,10542.96,10586.71
2020-04-21,10544.8,10544.8,10278.95,10288.42
2020-04-22,10256.11,10310.85,10140.09,10307.74
2020-04-23,10370.13,10462.7,10294.88,10366.51
2020-04-24,10367.97,10386.93,10324.2,10347.36
2020-04-27,10407.49,10578.96,10407.49,10567.27
2020-04-28,10580.25,10620.52,10537.71,10616.06
2020-04-29,10656.4,10794.83,10656.4,10772.22
2020-04-30,10826.26,11012.78,10826.26,10992.14
