Date,Open,High,Low,close
2020-09-01,12617.39,12703.28,12565.83,12703.28
2020-09-02,12772.43,12802.61,12646.47,12699.5
2020-09-03,12774.97,12857.79,12732.32,12757.97
2020-09-04,12645.92,12655.67,12559.78,12637.95
2020-09-07,12645.93,12725.05,12575.36,12601.4
2020-09-08,12637.42,12702.55,12614.72,12663.56
2020-09-09,12592.18,12616.57,12480.5,12608.58
2020-09-10,12665.74,12708.64,12650.4,12691.75
2020-09-11,12697.46,12701.79,12616.68,12675.95
2020-09-14,12680.41,12793.07,12680.41,12787.82
2020-09-15,12787.42,12857.73,12773.23,12845.65
2020-09-16,12989.81,13021.68,12948.72,12976.76
2020-09-17,12920.15,12972.52,12851.52,12872.74
2020-09-18,12858.6,12927.81,12841.09,12875.62
2020-09-21,12874.61,12952.31,12795.09,12795.12
2020-09-22,12786.91,12786.91,12632.74,12645.51
2020-09-23,12656.3,12700.89,12548.07,12583.88
2020-09-24,12487.48,12487.48,12264.38,12264.38
2020-09-25,12312.94,12385.81,12149.81,12232.91
2020-09-28,12282.36,12462.76,12282.36,12462.76
2020-09-29,12488.1,12571.34,12429.72,12467.73
2020-09-30,12483.65,12568.68,12466.58,12515.61
